house_type,locality,city,area,beds,bathrooms,balconies,furnishing,area_rate,rent
5 BHK Villa for Rent in Muthanallur Bangalore,Muthanallur,Bangalore,3500.0,5,5,0,Semi-Furnished,37.0,130000.0
"3 BHK Flat for Rent in Phase 7 JP Nagar, Bangalore",Phase 7 JP Nagar,Bangalore,1550.0,3,3,0,Furnished,23.0,35000.0
"3 BHK Flat for Rent in Gummanahalli, Bangalore",Gummanahalli,Bangalore,1055.0,3,3,2,Unfurnished,35.0,37000.0
1 BHK House for Rent in Bangalore Shivamogga Road Bangalore,Bangalore Shivamogga Road,Bangalore,650.0,1,1,0,Unfurnished,10.0,6250.0
1 BHK House for Rent in Srinagar Bangalore,Srinagar,Bangalore,1100.0,1,1,0,Semi-Furnished,6.0,6500.0
1 BHK House for Rent in Hongasandra Bangalore,Hongasandra,Bangalore,400.0,1,1,0,Semi-Furnished,25.0,10000.0
3 BHK House for Rent in Yelahanka New Town Bangalore,Yelahanka New Town,Bangalore,1000.0,3,3,0,Semi-Furnished,25.0,25000.0
4 BHK Villa for Rent in Kudlu Bangalore,Kudlu,Bangalore,3200.0,4,4,0,Furnished,31.0,100000.0
"4 BHK Flat for Rent in Sathya Sai Layout, Whitefield, Bangalore",Sathya Sai Layout,Bangalore,1700.0,4,4,4,Semi-Furnished,27.0,46000.0
"2 BHK Flat for Rent in Sector 3 HSR Layout, Bangalore",Sector 3 HSR Layout,Bangalore,1100.0,2,2,2,Furnished,25.0,28000.0
"1 BHK Flat for Rent in Annasandrapalya Extension, Bangalore",Annasandrapalya Extension,Bangalore,800.0,1,1,0,Unfurnished,16.0,13000.0
"3 BHK Flat for Rent in Kaval Bairasandra, Bangalore",Kaval Byrasandra,Bangalore,2000.0,3,3,3,Unfurnished,22.0,45000.0
"1 BHK Flat for Rent in Manayata Tech Park, Bangalore",Manyata Tech Park,Bangalore,690.0,1,1,0,Unfurnished,58.0,40000.0
3 BHK House for Rent in Sector 5th HSR Layout Bangalore,Sector 5 HSR Layout,Bangalore,2400.0,3,3,2,Semi-Furnished,31.0,75000.0
